0.000000 0.598840  -9.33208634
0.010000 0.599340  -9.33147671
0.020000 0.599773  -9.33085315
0.030000 0.600137  -9.33021786
0.040000 0.600434  -9.32957300
0.050000 0.600662  -9.32892069
0.060000 0.600822  -9.32826303
0.070000 0.600913  -9.32760212
0.080000 0.600935  -9.32694001
0.090000 0.600889  -9.32627879
0.100000 0.600773  -9.32562051
0.110000 0.600590  -9.32496727
0.120000 0.600337  -9.32432117
0.130000 0.600017  -9.32368431
0.140000 0.599628  -9.32305885
0.150000 0.599172  -9.32244697
0.160000 0.598648  -9.32185089
0.170000 0.598058  -9.32127290
0.180000 0.597401  -9.32071529
0.190000 0.596678  -9.32018045
0.200000 0.595890  -9.31967080
0.210000 0.595037  -9.31918881
0.220000 0.594120  -9.31873703
0.230000 0.593141  -9.31831805
0.240000 0.592099  -9.31793451
0.250000 0.590996  -9.31758910
0.260000 0.589833  -9.31728454
0.270000 0.588611  -9.31702359
0.280000 0.587331  -9.31680903
0.290000 0.585994  -9.31664362
0.300000 0.584603  -9.31653012
0.310000 0.583157  -9.31647126
0.320000 0.581660  -9.31646968
0.330000 0.580112  -9.31652795
0.340000 0.578516  -9.31664850
0.350000 0.576873  -9.31683359
0.360000 0.575185  -9.31708530
0.370000 0.573455  -9.31740541
0.380000 0.571684  -9.31779544
0.390000 0.569875  -9.31825651
0.400000 0.568031  -9.31878935
0.410000 0.566154  -9.31939417
0.420000 0.564247  -9.32007065
0.430000 0.562313  -9.32081784
0.440000 0.560355  -9.32163410
0.450000 0.558376  -9.32251701
0.460000 0.556379  -9.32346333
0.470000 0.554368  -9.32446892
0.480000 0.552347  -9.32552868
0.490000 0.550318  -9.32663650
0.500000 0.548287  -9.32778520
0.510000 0.546257  -9.32896655
0.520000 0.544232  -9.33017121
0.530000 0.542217  -9.33138878
0.540000 0.540216  -9.33260779
0.550000 0.538233  -9.33381580
0.560000 0.536273  -9.33499948
0.570000 0.534341  -9.33614471
0.580000 0.532441  -9.33723678
0.590000 0.530578  -9.33826052
0.600000 0.528757  -9.33920058
0.610000 0.526984  -9.34004164
0.620000 0.525262  -9.34076874
0.630000 0.523597  -9.34136754
0.640000 0.521993  -9.34182472
0.650000 0.520456  -9.34212826
0.660000 0.518990  -9.34226780
0.670000 0.517599  -9.34223500
0.680000 0.516288  -9.34202384
0.690000 0.515061  -9.34163090
0.700000 0.513922  -9.34105562
0.710000 0.512875  -9.34030046
0.720000 0.511924  -9.33937103
0.730000 0.511071  -9.33827615
0.740000 0.510321  -9.33702775
0.750000 0.509674  -9.33564081
0.760000 0.509135  -9.33413310
0.770000 0.508704  -9.33252489
0.780000 0.508383  -9.33083857
0.790000 0.508174  -9.32909822
0.800000 0.508077  -9.32732908
0.810000 0.508092  -9.32555700
0.820000 0.508220  -9.32380794
0.830000 0.508460  -9.32210733
0.840000 0.508811  -9.32047958
0.850000 0.509272  -9.31894753
0.860000 0.509841  -9.31753200
0.870000 0.510517  -9.31625140
0.880000 0.511295  -9.31512140
0.890000 0.512175  -9.31415470
0.900000 0.513153  -9.31336084
0.910000 0.514226  -9.31274622
0.920000 0.515389  -9.31231403
0.930000 0.516640  -9.31206440
0.940000 0.517973  -9.31199456
0.950000 0.519385  -9.31209906
0.960000 0.520871  -9.31237007
0.970000 0.522427  -9.31279764
0.980000 0.524048  -9.31337009
0.990000 0.525730  -9.31407433
1.000000 0.527466  -9.31489620
1.010000 0.529253  -9.31582080
1.020000 0.531086  -9.31683284
1.030000 0.532959  -9.31791690
1.040000 0.534868  -9.31905770
1.050000 0.536809  -9.32024036
1.060000 0.538776  -9.32145056
1.070000 0.540764  -9.32267473
1.080000 0.542770  -9.32390017
1.090000 0.544788  -9.32511515
1.100000 0.546815  -9.32630897
1.110000 0.548845  -9.32747203
1.120000 0.550876  -9.32859580
1.130000 0.552903  -9.32967284
1.140000 0.554922  -9.33069678
1.150000 0.556929  -9.33166226
1.160000 0.558921  -9.33256494
1.170000 0.560895  -9.33340133
1.180000 0.562847  -9.33416886
1.190000 0.564774  -9.33486570
1.200000 0.566673  -9.33549075
1.210000 0.568541  -9.33604354
1.220000 0.570376  -9.33652419
1.230000 0.572174  -9.33693332
1.240000 0.573934  -9.33727197
1.250000 0.575653  -9.33754159
1.260000 0.577329  -9.33774391
1.270000 0.578959  -9.33788097
1.280000 0.580542  -9.33795500
1.290000 0.582076  -9.33796840
1.300000 0.583560  -9.33792374
1.310000 0.584990  -9.33782366
1.320000 0.586367  -9.33767087
1.330000 0.587688  -9.33746815
1.340000 0.588952  -9.33721828
1.350000 0.590158  -9.33692405
1.360000 0.591305  -9.33658823
1.370000 0.592391  -9.33621357
1.380000 0.593416  -9.33580277
1.390000 0.594378  -9.33535850
1.400000 0.595278  -9.33488338
1.410000 0.596113  -9.33437997
1.420000 0.596883  -9.33385076
1.430000 0.597588  -9.33329820
1.440000 0.598227  -9.33272469
1.450000 0.598799  -9.33213255
1.460000 0.599304  -9.33152409
1.470000 0.599742  -9.33090152
1.480000 0.600112  -9.33026706
1.490000 0.600413  -9.32962286
1.500000 0.600647  -9.32897104
1.510000 0.600812  -9.32831372
1.520000 0.600908  -9.32765298
1.530000 0.600936  -9.32699090
1.540000 0.600895  -9.32632953
1.550000 0.600785  -9.32567096
1.560000 0.600606  -9.32501726
1.570000 0.600359  -9.32437052
1.580000 0.600044  -9.32373288
1.590000 0.599660  -9.32310647
1.600000 0.599209  -9.32249346
1.610000 0.598691  -9.32189610
1.620000 0.598105  -9.32131663
1.630000 0.597454  -9.32075737
1.640000 0.596736  -9.32022070
1.650000 0.595953  -9.31970902
1.660000 0.595105  -9.31922482
1.670000 0.594193  -9.31877063
1.680000 0.593218  -9.31834903
1.690000 0.592181  -9.31796267
1.700000 0.591083  -9.31761423
1.710000 0.589924  -9.31730643
