1.640000 0.596101  -9.33209742
1.650000 0.595287  -9.33210083
1.660000 0.594409  -9.33210457
1.670000 0.593467  -9.33210865
1.680000 0.592463  -9.33211308
1.690000 0.591398  -9.33211787
1.700000 0.590272  -9.33212302
1.710000 0.589086  -9.33212853
1.720000 0.587843  -9.33213443
1.730000 0.586542  -9.33214071
1.740000 0.585185  -9.33214736
1.750000 0.583775  -9.33215440
1.760000 0.582311  -9.33216182
1.770000 0.580796  -9.33216960
1.780000 0.579232  -9.33217775
1.790000 0.577621  -9.33218624
1.800000 0.575963  -9.33219505
1.810000 0.574263  -9.33220415
1.820000 0.572520  -9.33221352
1.830000 0.570739  -9.33222310
1.840000 0.568921  -9.33223286
1.850000 0.567069  -9.33224273
1.860000 0.565186  -9.33225264
1.870000 0.563273  -9.33226254
1.880000 0.561336  -9.33227232
1.890000 0.559375  -9.33228189
1.900000 0.557396  -9.33229116
1.910000 0.555400  -9.33230000
1.920000 0.553393  -9.33230831
1.930000 0.551376  -9.33231594
1.940000 0.549354  -9.33232276
1.950000 0.547332  -9.33232864
1.960000 0.545312  -9.33233342
1.970000 0.543300  -9.33233698
1.980000 0.541299  -9.33233916
1.990000 0.539314  -9.33233982
2.000000 0.537350  -9.33233886
2.010000 0.535411  -9.33233614
2.020000 0.533501  -9.33233158
2.030000 0.531626  -9.33232511
2.040000 0.529791  -9.33231668
2.050000 0.527999  -9.33230628
2.060000 0.526257  -9.33229393
2.070000 0.524568  -9.33227969
2.080000 0.522938  -9.33226367
2.090000 0.521372  -9.33224600
2.100000 0.519873  -9.33222689
2.110000 0.518448  -9.33220657
2.120000 0.517099  -9.33218531
2.130000 0.515832  -9.33216344
2.140000 0.514651  -9.33214130
2.150000 0.513559  -9.33211926
2.160000 0.512561  -9.33209773
2.170000 0.511659  -9.33207711
2.180000 0.510856  -9.33205779
2.190000 0.510157  -9.33204018
2.200000 0.509562  -9.33202463
2.210000 0.509074  -9.33201147
2.220000 0.508696  -9.33200100
2.230000 0.508427  -9.33199344
2.240000 0.508270  -9.33198895
2.250000 0.508224  -9.33198765
2.260000 0.508291  -9.33198956
2.270000 0.508469  -9.33199464
2.280000 0.508759  -9.33200276
2.290000 0.509158  -9.33201377
2.300000 0.509666  -9.33202740
2.310000 0.510281  -9.33204337
2.320000 0.511001  -9.33206133
2.330000 0.511822  -9.33208092
2.340000 0.512743  -9.33210175
2.350000 0.513759  -9.33212341
2.360000 0.514868  -9.33214549
2.370000 0.516066  -9.33216761
2.380000 0.517349  -9.33218940
2.390000 0.518712  -9.33221050
2.400000 0.520152  -9.33223061
2.410000 0.521663  -9.33224947
2.420000 0.523242  -9.33226683
2.430000 0.524884  -9.33228253
2.440000 0.526583  -9.33229642
2.450000 0.528335  -9.33230840
2.460000 0.530135  -9.33231843
2.470000 0.531979  -9.33232649
2.480000 0.533860  -9.33233259
2.490000 0.535776  -9.33233679
2.500000 0.537720  -9.33233917
2.510000 0.539689  -9.33233982
2.520000 0.541677  -9.33233886
2.530000 0.543680  -9.33233641
2.540000 0.545694  -9.33233261
2.550000 0.547715  -9.33232760
2.560000 0.549738  -9.33232154
2.570000 0.551758  -9.33231455
2.580000 0.553774  -9.33230678
2.590000 0.555780  -9.33229836
2.600000 0.557772  -9.33228943
2.610000 0.559748  -9.33228010
2.620000 0.561705  -9.33227048
2.630000 0.563638  -9.33226067
2.640000 0.565545  -9.33225077
2.650000 0.567422  -9.33224085
2.660000 0.569268  -9.33223100
2.670000 0.571079  -9.33222127
2.680000 0.572853  -9.33221173
2.690000 0.574588  -9.33220241
2.700000 0.576281  -9.33219336
2.710000 0.577930  -9.33218461
2.720000 0.579532  -9.33217618
2.730000 0.581087  -9.33216810
2.740000 0.582592  -9.33216038
2.750000 0.584046  -9.33215304
2.760000 0.585447  -9.33214607
2.770000 0.586793  -9.33213949
2.780000 0.588083  -9.33213328
2.790000 0.589316  -9.33212746
2.800000 0.590490  -9.33212201
2.810000 0.591604  -9.33211693
2.820000 0.592658  -9.33211222
2.830000 0.593650  -9.33210785
2.840000 0.594580  -9.33210384
2.850000 0.595446  -9.33210016
2.860000 0.596248  -9.33209681
2.870000 0.596985  -9.33209377
2.880000 0.597657  -9.33209105
2.890000 0.598262  -9.33208862
2.900000 0.598801  -9.33208649
2.910000 0.599272  -9.33208465
2.920000 0.599677  -9.33208308
2.930000 0.600013  -9.33208179
2.940000 0.600282  -9.33208076
2.950000 0.600482  -9.33208000
2.960000 0.600614  -9.33207950
2.970000 0.600677  -9.33207927
2.980000 0.600672  -9.33207928
2.990000 0.600598  -9.33207956
3.000000 0.600456  -9.33208010
3.010000 0.600246  -9.33208090
3.020000 0.599967  -9.33208196
3.030000 0.599620  -9.33208330
3.040000 0.599206  -9.33208491
3.050000 0.598724  -9.33208679
3.060000 0.598175  -9.33208897
3.070000 0.597560  -9.33209144
3.080000 0.596878  -9.33209421
3.090000 0.596132  -9.33209729
3.100000 0.595320  -9.33210069
3.110000 0.594444  -9.33210442
3.120000 0.593505  -9.33210849
3.130000 0.592504  -9.33211290
3.140000 0.591441  -9.33211767
3.150000 0.590317  -9.33212281
3.160000 0.589134  -9.33212831
3.170000 0.587892  -9.33213419
3.180000 0.586594  -9.33214045
3.190000 0.585240  -9.33214710
3.200000 0.583831  -9.33215412
3.210000 0.582369  -9.33216152
3.220000 0.580857  -9.33216929
3.230000 0.579294  -9.33217743
3.240000 0.577685  -9.33218590
3.250000 0.576029  -9.33219470
3.260000 0.574330  -9.33220379
3.270000 0.572589  -9.33221315
3.280000 0.570809  -9.33222272
3.290000 0.568993  -9.33223247
